"date";"close";"volume";"open";"high";"low"
"2019/08/06";"310.1000";"6179090.0000";"310.5800";"311.8800";"305.3000"
"2019/08/05";"307.6300";"8692485.0000";"310.9600";"313.4179";"304.6770"
"2019/08/02";"318.8300";"6280343.0000";"317.4900";"319.4100";"311.8000"
"2019/08/01";"319.5000";"6563156.0000";"324.2500";"328.5800";"318.7350"
"2019/07/31";"322.9900";"6259494.0000";"325.1600";"331.7700";"318.5300"
"2019/07/30";"325.9300";"6029320.0000";"329.2000";"329.6500";"323.2300"
"2019/07/29";"332.7000";"5782817.0000";"335.9800";"336.4000";"428.7700"
"2019/07/26";"335.7800";"10847500.0000";"328.7900";"336.0000";"327.5000"
"2019/07/25";"326.4600";"10798500.0000";"318.8600";"327.6900";"316.3000"
"2019/07/24";"317.9400";"11961820.0000";"310.5100";"319.9900";"307.2500"
"2019/07/23";"307.3000";"9171068.0000";"311.4400";"313.5000";"306.0000"
"2019/07/22";"310.6200";"17725330.0000";"312.0000";"314.5400";"305.8100"
"2019/07/19";"315.1000";"16302480.0000";"323.4000";"325.8500";"414.2300"
"2019/07/18";"325.2100";"31305900.0000";"323.7600";"329.8500";"320.3000"
"2019/07/17";"362.4400";"13639540.0000";"366.2500";"366.5000";"361.7500"
"2019/07/16";"365.9900";"5863222.0000";"370.0900";"371.3400";"364.9200"
"2019/07/15";"366.6000";"7944680.0000";"372.9400";"373.6800";"362.3000"
"2019/07/12";"373.2500";"6636937.0000";"378.6800";"379.7375";"372.7917"
"2019/07/11";"379.5000";"4336287.0000";"381.1000";"384.5400";"378.8000"
"2019/07/10";"381.0000";"5878790.0000";"382.7700";"384.3399";"377.4000"
"2019/07/09";"379.9300";"6932822.0000";"379.0600";"384.7600";"377.5000"
"2019/07/08";"376.1600";"3113402.0000";"378.1900";"378.2500";"375.3600"
"2019/07/05";"380.5500";"3732162.0000";"378.2900";"381.4000";"375.5550"
"2019/07/03";"381.7200";"3799009.0000";"376.6900";"381.9900";"375.8400"
"2019/07/02";"375.4300";"3628962.0000";"374.8900";"376.0000";"370.3100"
"2019/07/01";"374.6000";"5001518.0000";"373.5000";"376.6600";"372.0000"
"2019/06/28";"367.3200";"4592706.0000";"370.2600";"371.5448";"364.8700"
"2019/06/27";"370.0200";"4138575.0000";"363.2000";"370.8500";"363.2000"
"2019/06/26";"362.2000";"3669677.0000";"361.6000";"366.7900";"361.6000"
"2019/06/25";"360.3000";"5750383.0000";"370.7500";"370.9994";"358.2900"
"2019/06/24";"371.0400";"4830240.0000";"370.2700";"375.0000";"370.2000"
"2019/06/21";"369.2100";"7448356.0000";"365.0000";"371.4500";"365.0000"
"2019/06/20";"365.2100";"5899467.0000";"365.9100";"370.1200";"361.2150"
"2019/06/19";"363.5200";"5667156.0000";"361.7200";"364.7400";"356.1200"
"2019/06/18";"357.1200";"5428542.0000";"355.5700";"361.5000";"353.7500"
"2019/06/17";"350.6200";"5358219.0000";"342.6900";"351.7700";"342.0600"
"2019/06/14";"339.7300";"5019011.0000";"341.6300";"343.4000";"336.1550"
"2019/06/13";"343.4300";"6209347.0000";"347.2300";"348.5000";"339.2500"
"2019/06/12";"345.5600";"4584704.0000";"351.8200";"353.6100";"343.2300"
"2019/06/11";"351.2700";"5396712.0000";"355.0000";"357.5800";"348.5000"
"2019/06/10";"352.0100";"7810261.0000";"363.6500";"367.1000";"349.2850"
"2019/06/07";"360.8700";"4777321.0000";"357.3900";"365.1500";"355.6900"
"2019/06/06";"357.1300";"3709955.0000";"354.8400";"358.2100";"352.0900"
"2019/06/05";"355.7300";"5020081.0000";"354.3800";"357.8800";"348.7100"
"2019/06/04";"353.4000";"7891632.0000";"345.0000";"353.6100";"343.2500"
"2019/06/03";"336.6300";"7849589.0000";"343.5600";"347.6600";"332.6500"
"2019/05/31";"343.2800";"5023449.0000";"347.2200";"349.3400";"342.9200"
"2019/05/30";"351.8500";"4008042.0000";"350.5500";"354.2100";"348.3000"
"2019/05/29";"349.1900";"5658913.0000";"353.6000";"353.8476";"345.9000"
"2019/05/28";"354.7800";"4717144.0000";"354.3900";"361.2000";"353.6400"
"2019/05/24";"354.3900";"3830963.0000";"355.4100";"359.4400";"353.7910"
"2019/05/23";"352.2100";"5630443.0000";"355.5000";"357.4200";"347.7000"
"2019/05/22";"359.7300";"6229389.0000";"358.0100";"370.4600";"357.3000"
"2019/05/21";"354.2700";"4026369.0000";"350.9500";"356.4250";"349.9300"
"2019/05/20";"348.1100";"4621515.0000";"351.2300";"352.4180";"345.4000"
"2019/05/17";"354.4500";"4725448.0000";"356.3900";"359.6200";"353.7850"
"2019/05/16";"359.3100";"6441463.0000";"356.3700";"364.0000";"353.9350"
"2019/05/15";"354.9900";"6340118.0000";"343.3400";"356.5000";"341.3900"
"2019/05/14";"345.6100";"5353029.0000";"348.7100";"349.9500";"342.5000"
"2019/05/13";"345.2600";"8026697.0000";"352.2900";"354.2600";"343.1000"
"2019/05/10";"361.0400";"5657123.0000";"361.6200";"365.2578";"353.0600"
"2019/05/09";"362.7500";"5882572.0000";"360.9000";"364.2000";"352.7500"
"2019/05/08";"364.3700";"6571957.0000";"367.9200";"369.0000";"361.3600"
"2019/05/07";"370.4600";"6974924.0000";"377.0000";"379.9100";"365.8100"
"2019/05/06";"378.6700";"5793144.0000";"377.6900";"381.3500";"376.0000"
